date	total_count	lineage_count	total_count_rolling	lineage_count_rolling	proportion	proportion_ci_lower	proportion_ci_upper	dateTime	source
"2021-01-14"	6960	11	6929.428571428572	11.142857142857142	0.0016080484888467406	0.0008437351264738747	0.0027458630805909934	"2021-01-14T05:00:00.000Z"	
"2021-01-15"	11486	21	7738.428571428572	11.857142857142858	0.001532241688050361	0.0008480169726844527	0.002624922231215021	"2021-01-15T05:00:00.000Z"	
"2021-01-16"	5742	4	7841.428571428572	11.857142857142858	0.0015121151393696485	0.0008368738417379504	0.002590460453855581	"2021-01-16T05:00:00.000Z"	
"2021-01-17"	4845	13	7977.571428571428	13.142857142857142	0.001647475959386136	0.000913646743548551	0.0027055580465364937	"2021-01-17T05:00:00.000Z"	
"2021-01-18"	12717	29	8055.571428571428	14.714285714285714	0.0018265973860150028	0.0010889387589573443	0.0029917516936748267	"2021-01-18T05:00:00.000Z"	
"2021-01-19"	8224	53	8072	20.714285714285715	0.0025661900042474872	0.0016598846602481276	0.0038991234284512233	"2021-01-19T05:00:00.000Z"	
"2021-01-20"	7627	16	8228.714285714286	21	0.002552039027100224	0.0016282022441038504	0.003824782316136255	"2021-01-20T05:00:00.000Z"	
"2021-01-21"	7018	16	8237	21.714285714285715	0.0026361886262335457	0.0017226395430211228	0.003967807575341098	"2021-01-21T05:00:00.000Z"	
"2021-01-22"	7112	20	7612.142857142857	21.571428571428573	0.00283381814769635	0.0018641487428908891	0.004293353115737419	"2021-01-22T05:00:00.000Z"	
"2021-01-23"	4365	14	7415.428571428572	23	0.003101641365492795	0.002020998478343634	0.004569686762436631	"2021-01-23T05:00:00.000Z"	
"2021-01-24"	3995	8	7294	22.285714285714285	0.003055348818990168	0.0019454617607868121	0.004480388551005743	"2021-01-24T05:00:00.000Z"	
"2021-01-25"	13319	30	7380	22.428571428571427	0.0030391018195896242	0.0019227798098703543	0.004428217741609841	"2021-01-25T05:00:00.000Z"	
"2021-01-26"	9333	26	7538.428571428572	18.571428571428573	0.0024635676249313045	0.0015697004805170674	0.00385243731478746	"2021-01-26T05:00:00.000Z"	
"2021-01-27"	9623	29	7823.571428571428	20.428571428571427	0.0026111567607048298	0.0016120677512797624	0.0038675130911194344	"2021-01-27T05:00:00.000Z"	
"2021-01-28"	9247	28	8142	22.142857142857142	0.0027195845176685263	0.0017427481658183167	0.0040140716485576045	"2021-01-28T05:00:00.000Z"	
"2021-01-29"	9022	24	8414.857142857143	22.714285714285715	0.0026993073475485535	0.0017807247701346527	0.0040270147407085455	"2021-01-29T05:00:00.000Z"	
"2021-01-30"	6080	16	8659.857142857143	23	0.0026559329583134	0.0017303243845969332	0.003913161627202233	"2021-01-30T05:00:00.000Z"	
"2021-01-31"	4833	10	8779.57142857143	23.285714285714285	0.0026522609304066255	0.001706665158301012	0.003859713567873402	"2021-01-31T05:00:00.000Z"	
"2021-02-01"	11997	32	8590.714285714286	23.571428571428573	0.0027438263906211027	0.001837336386695549	0.004084213107696022	"2021-02-01T05:00:00.000Z"	
"2021-02-02"	9203	21	8572.142857142857	22.857142857142858	0.00266644446296142	0.0017480956700016415	0.0039533073110519235	"2021-02-02T05:00:00.000Z"	
"2021-02-03"	8462	34	8406.285714285714	23.571428571428573	0.002804024199578547	0.0018777912554132823	0.004174036689109983	"2021-02-03T05:00:00.000Z"	
"2021-02-04"	7811	26	8201.142857142857	23.285714285714285	0.002839325529542921	0.0018272130211096397	0.004132024010169211	"2021-02-04T05:00:00.000Z"	
"2021-02-05"	7094	43	7925.714285714285	26	0.0032804614275414564	0.0021949372992801923	0.004727798941258632	"2021-02-05T05:00:00.000Z"	
"2021-02-06"	4940	17	7762.857142857143	26.142857142857142	0.0033676849466323148	0.0022410486052881896	0.004826991882492249	"2021-02-06T05:00:00.000Z"	
"2021-02-07"	4664	11	7738.714285714285	26.285714285714285	0.003396651344815492	0.0022480021406237104	0.004841949611594565	"2021-02-07T05:00:00.000Z"	
"2021-02-08"	13261	55	7919.285714285715	29.571428571428573	0.003734103003517633	0.0026093095738671987	0.00532949052688958	"2021-02-08T05:00:00.000Z"	
"2021-02-09"	10262	58	8070.571428571428	34.857142857142854	0.004319042730201437	0.0030740934312727987	0.005953887941407943	"2021-02-09T05:00:00.000Z"	
"2021-02-10"	9747	47	8254.142857142857	36.714285714285715	0.004447982831132419	0.0032089989347048368	0.006103360073613007	"2021-02-10T05:00:00.000Z"	
"2021-02-11"	8894	62	8408.857142857143	41.857142857142854	0.0049777445550609895	0.0036525321551326784	0.006677078021642413	"2021-02-11T05:00:00.000Z"	
"2021-02-12"	8599	46	8623.857142857143	42.285714285714285	0.004903341229479682	0.003561415762907379	0.006510757748531604	"2021-02-12T05:00:00.000Z"	
"2021-02-13"	5286	17	8673.285714285714	42.285714285714285	0.004875397361355888	0.0035412822009650378	0.006474005035127739	"2021-02-13T05:00:00.000Z"	
"2021-02-14"	5115	23	8737.714285714286	44	0.005035641880844941	0.003709922160120034	0.006688523683146541	"2021-02-14T05:00:00.000Z"	
"2021-02-15"	24667	241	10367.142857142857	70.57142857142857	0.0068072206145790275	0.005395286962515652	0.008577160940497763	"2021-02-15T05:00:00.000Z"	
"2021-02-16"	10745	43	10436.142857142857	68.42857142857143	0.006556883358657413	0.005105569564448421	0.008199740087075802	"2021-02-16T05:00:00.000Z"	
"2021-02-17"	9316	48	10374.57142857143	68.57142857142857	0.006609567348737296	0.005220698284702026	0.008355538690301922	"2021-02-17T05:00:00.000Z"	
"2021-02-18"	8860	76	10369.714285714286	70.57142857142857	0.00680553259491927	0.0053937250238951994	0.008574681821593377	"2021-02-18T05:00:00.000Z"	
"2021-02-19"	8625	61	10373.42857142857	72.71428571428571	0.00700966755722037	0.005562939206865444	0.008786942887750282	"2021-02-19T05:00:00.000Z"	
"2021-02-20"	5869	32	10456.714285714286	74.85714285714286	0.007158763337295244	0.005687924361723234	0.008929135960997314	"2021-02-20T05:00:00.000Z"	
"2021-02-21"	5679	43	10537.285714285714	77.71428571428571	0.007375171160911593	0.005897865068885146	0.009177520671501238	"2021-02-21T05:00:00.000Z"	
"2021-02-22"	15194	101	9184	57.714285714285715	0.006284221005475361	0.004846379107597597	0.008095147154279836	"2021-02-22T05:00:00.000Z"	
"2021-02-23"	10167	76	9101.42857142857	62.42857142857143	0.006859205776173286	0.0052750901837441	0.008663185493999137	"2021-02-23T05:00:00.000Z"	
"2021-02-24"	10691	119	9297.857142857143	72.57142857142857	0.007805177844357378	0.006206620741423119	0.009801829886133206	"2021-02-24T05:00:00.000Z"	
"2021-02-25"	10933	75	9594	72.42857142857143	0.007549361207897794	0.005922610753613022	0.009383681343821282	"2021-02-25T05:00:00.000Z"	
"2021-02-26"	9345	112	9696.857142857143	79.71428571428571	0.008220631132325643	0.006592952451162586	0.010200328529212377	"2021-02-26T05:00:00.000Z"	
"2021-02-27"	5863	81	9696	86.71428571428571	0.008943305044790193	0.007239098435431528	0.010999391535743586	"2021-02-27T05:00:00.000Z"	
"2021-02-28"	5728	42	9703	86.57142857142857	0.008922130121759103	0.007233871531958978	0.010991464602983503	"2021-02-28T05:00:00.000Z"	
"2021-03-01"	15083	87	9687.142857142857	84.57142857142857	0.008730275770535319	0.0070609086594849504	0.01078171634053171	"2021-03-01T05:00:00.000Z"	
"2021-03-02"	12369	170	10001.714285714286	98	0.009798320287950637	0.008006581838703649	0.011873023223585188	"2021-03-02T05:00:00.000Z"	
"2021-03-03"	11929	97	10178.57142857143	94.85714285714286	0.009319298245614034	0.007601522556298164	0.011343213152359088	"2021-03-03T05:00:00.000Z"	
